rcid,session,vote,ccode,Country,CABB
5311,68,1,630,Iran,IRN
5311,68,1,510,Tanzania,TAZ
5311,68,1,750,India,IND
5311,68,1,560,South Africa,SAF
5311,68,8,700,Afghanistan,AFG
5311,68,1,461,Togo,TOG
5311,68,1,565,Namibia,NAM
5311,68,8,701,Turkmenistan,TKM
5311,68,8,987,"Micronesia, Federated States of",FSM
5311,68,1,91,Honduras,HON
5311,68,1,165,Uruguay,URU
5311,68,1,225,Switzerland,SWZ
5311,68,1,92,El Salvador,SAL
5311,68,1,223,Liechtenstein,LIE
5311,68,1,94,Costa Rica,COS
5311,68,1,221,Monaco,MNC
5311,68,1,220,France,FRN
5311,68,8,860,East Timor,ETM
5311,68,8,935,Vanuatu,VAN
5311,68,8,947,Tuvalu,TUV
5311,68,1,501,Kenya,KEN
5311,68,1,740,Japan,JPN
5311,68,1,150,Paraguay,PAR
5311,68,1,155,Chile,CHL
5311,68,1,600,Morocco,MOR
5311,68,2,551,Zambia,ZAM
5311,68,8,553,Malawi,MAW
5311,68,1,552,Zimbabwe,ZIM
5311,68,1,235,Portugal,POR
5311,68,1,230,Spain,SPN
5311,68,1,232,Andorra,AND
5311,68,8,990,Samoa,WSM
5311,68,1,950,Fiji,FIJ
5311,68,1,42,Dominican Republic,DOM
5311,68,1,40,Cuba,CUB
5311,68,1,41,Haiti,HAI
5311,68,1,325,Italy,ITA
5311,68,1,775,Myanmar,MYA
5311,68,1,200,United Kingdom,UKG
5311,68,1,145,Bolivia,BOL
5311,68,1,205,Ireland,IRE
5311,68,1,770,Pakistan,PAK
5311,68,1,140,Brazil,BRA
5311,68,1,475,Nigeria,NIG
5311,68,1,616,Tunisia,TUN
5311,68,1,615,Algeria,ALG
5311,68,1,70,Mexico,MEX
5311,68,1,484,Congo,CON
5311,68,1,483,Chad,CHA
5311,68,8,482,Central African Republic,CEN
5311,68,8,481,Gabon,GAB
5311,68,1,946,Kiribati,KIR
5311,68,1,732,South Korea,ROK
5311,68,1,835,Brunei Darussalam,BRU
5311,68,8,940,Solomon Islands,SOL
5311,68,1,355,Bulgaria,BUL
5311,68,1,471,Cameroon,CAO
5311,68,1,352,Cyprus,CYP
5311,68,1,350,Greece,GRC
5311,68,1,800,Thailand,THI
5311,68,8,572,Swaziland,SWA
5311,68,1,359,Moldova,MLD
5310,68,1,212,Luxembourg,LUX
5310,68,1,210,Netherlands,NTH
5310,68,1,211,Belgium,BEL
5310,68,1,983,Marshall Islands,MSI
5310,68,8,666,Israel,ISR
5310,68,2,760,Bhutan,BHU
5310,68,2,663,Jordan,JOR
5310,68,2,660,Lebanon,LEB
5310,68,2,130,Ecuador,ECU
5310,68,2,135,Peru,PER
5310,68,2,90,Guatemala,GUA
5310,68,2,571,Botswana,BOT
5310,68,8,490,Democratic Republic of the Congo,DRC
5310,68,3,93,Nicaragua,NIC
5310,68,8,626,South Sudan,SSD
5310,68,2,692,Bahrain,BAH
5310,68,2,690,Kuwait,KUW
5310,68,2,20,Canada,CAN
5310,68,2,694,Qatar,QAT
5310,68,2,160,Argentina,ARG
5310,68,2,698,Oman,OMA
5310,68,1,344,Croatia,CRO
5310,68,2,345,Serbia,YUG
5310,68,8,346,Bosnia and Herzegovina,BOS
